Type,OdName,AreaName,RegName,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,,,,
Emigrants,Afghanistan,Asia,Southern Asia,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,4,5,2,2,2,2,..,..,..,..,,,,,,,,
Emigrants,Albania,Europe,Southern Europe,More developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,5,1,0,0,..,..,..,..,,,,,,,,
Emigrants,Algeria,Africa,Northern Africa,Less developed regions,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1,1,1,0,3,0,2,..,..,..,..,,,,,,,,
Emigrants,American Samoa,Oceania,Polynesia,Less developed regions,7,2,11,4,0,3,8,3,6,8,7,11,9,5,3,7,4,3,3,0,1,2,2,6,1,2,2,3,1,0,..,..,..,..,,,,,,,,
Emigrants,Andorra,Europe,Southern Europe,More developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Angola,Africa,Middle Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Anguilla,Latin America and the Caribbean,Caribbean,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Argentina,Latin America and the Caribbean,South America,Less developed regions,3,7,11,1,0,9,1,5,2,1,8,7,21,15,29,11,18,22,10,9,20,14,6,33,45,60,58,60,80,129,..,..,..,..,,,,,,,,
Emigrants,Armenia,Asia,Western Asia,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Aruba,Latin America and the Caribbean,Caribbean,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Australia,Oceania,Australia and New Zealand,More developed regions,3930,3415,2607,2023,2390,2901,2880,2794,3339,2740,2179,2175,2278,2243,2310,2588,2972,3251,3030,3275,3110,3086,2621,2649,2838,3294,3120,3476,3352,2907,..,..,..,..,,,,,,,,
Emigrants,Austria,Europe,Western Europe,More developed regions,15,14,12,19,14,10,17,22,19,34,37,47,26,32,14,20,28,20,27,20,27,31,19,23,35,34,27,40,34,57,..,..,..,..,,,,,,,,
Emigrants,Azerbaijan,Asia,Western Asia,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,..,..,..,..,,,,,,,,
Emigrants,Bahamas,Latin America and the Caribbean,Caribbean,Less developed regions,2,0,1,0,1,0,1,0,0,1,0,0,0,1,5,19,16,8,0,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Bahrain,Asia,Western Asia,Less developed regions,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,5,1,3,1,4,1,1,2,3,5,..,..,..,..,,,,,,,,
Emigrants,Bangladesh,Asia,Southern Asia,Less developed regions,3,10,2,9,4,10,10,7,4,14,6,10,4,11,7,8,11,14,24,17,10,14,19,22,41,34,31,24,27,20,..,..,..,..,,,,,,,,
Emigrants,Barbados,Latin America and the Caribbean,Caribbean,Less developed regions,11,5,6,4,0,1,0,0,0,0,0,3,2,0,1,1,1,2,1,1,1,0,0,1,0,1,4,0,0,2,..,..,..,..,,,,,,,,
Emigrants,Belarus,Europe,Eastern Europe,More developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,3,0,..,..,..,..,,,,,,,,
Emigrants,Belgium,Europe,Western Europe,More developed regions,6,5,4,4,7,5,11,21,12,10,12,16,17,14,13,21,26,21,19,26,21,19,21,27,18,25,33,27,23,39,..,..,..,..,,,,,,,,
Emigrants,Belize,Latin America and the Caribbean,Central America,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,2,1,1,0,0,1,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Benin,Africa,Western Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Bermuda,Northern America,Northern America,More developed regions,2,3,0,0,7,4,2,7,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Bhutan,Asia,Southern Asia,Less developed regions,1,5,1,0,0,0,0,1,3,0,4,2,1,0,2,3,2,0,0,1,3,2,1,3,2,7,7,4,1,3,..,..,..,..,,,,,,,,
Emigrants,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,Less developed regions,0,1,0,0,0,0,0,0,1,0,0,1,1,4,0,0,8,7,5,2,6,2,2,6,3,4,2,2,2,2,..,..,..,..,,,,,,,,
Emigrants,Bosnia and Herzegovina,Europe,Southern Europe,More developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,4,0,1,0,0,2,3,0,0,0,0,3,..,..,..,..,,,,,,,,
Emigrants,Botswana,Africa,Southern Africa,Less developed regions,0,0,0,2,0,0,0,0,0,2,2,4,2,0,1,5,3,0,0,0,2,1,2,1,0,2,1,1,3,1,..,..,..,..,,,,,,,,
Emigrants,Brazil,Latin America and the Caribbean,South America,Less developed regions,10,4,5,5,2,3,5,8,10,13,5,16,35,32,38,15,35,40,56,44,41,50,59,101,145,207,273,276,435,496,..,..,..,..,,,,,,,,
Emigrants,British Virgin Islands,Latin America and the Caribbean,Caribbean,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Brunei Darussalam,Asia,South-Eastern Asia,Less developed regions,3,0,0,1,1,2,4,3,0,7,1,3,4,6,2,4,3,7,2,2,1,3,1,3,3,5,4,4,4,9,..,..,..,..,,,,,,,,
Emigrants,Bulgaria,Europe,Eastern Europe,More developed regions,0,0,0,0,0,0,0,0,0,0,0,2,6,2,1,1,1,3,4,9,3,7,1,6,13,6,6,8,11,13,..,..,..,..,,,,,,,,
Emigrants,Burkina Faso,Africa,Western Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Burundi,Africa,Eastern Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Cape Verde,Africa,Western Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
