Type,OdName,AreaName,RegName,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Emigrants,Afghanistan,Asia,Southern Asia,Developing regions,1,0,1,0,0,0,0,1,1,1,1,0,0,5,0,4,1,1,0,3,0,3,6,11,15,23,22,19,16,23,28,15,10,4
Emigrants,Albania,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,11,2,4,1,0,3,0,4,1,1,0,5,0,0,1,5,2,0
Emigrants,Algeria,Africa,Northern Africa,Developing regions,5,1,1,1,0,1,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,2,2,1,0,1,0,0,0,3,2,0,8,0
Emigrants,American Samoa,Oceania,Polynesia,Developing regions,64,37,17,9,33,16,37,35,68,53,43,37,41,34,44,25,20,33,48,45,29,65,33,51,35,38,20,17,26,21,16,12,29,13
Emigrants,Andorra,Europe,Southern Europe,Developed regions,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,2,4,2,0,0,1,1,0,2,0,0,0,0,0
Emigrants,Angola,Africa,Middle Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,1,4,3,1,0,1,7,2,0,5,3,0,0,6,1,2,0,1,0
Emigrants,Anguilla,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Emigrants,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,Developing regions,0,0,1,0,0,0,0,0,0,0,1,0,1,1,6,1,2,1,0,1,0,1,2,3,0,0,0,2,1,1,0,1,0,0
Emigrants,Argentina,Latin America and the Caribbean,South America,Developing regions,13,13,13,1,1,15,4,17,22,19,17,20,31,33,60,47,38,74,49,46,52,35,29,48,72,92,98,107,118,150,186,162,180,181
Emigrants,Armenia,Asia,Western Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,2,3,0,0,0,0,3,2,0,0,1,1,0
Emigrants,Aruba,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0
Emigrants,Australia,Oceania,Australia and New Zealand,Developed regions,40250,39097,27200,14485,18517,30722,35708,34921,45088,33929,19608,15359,16036,15535,18828,21512,23601,26030,28469,33875,38248,36033,25070,24569,28938,34766,34015,41634,48452,32755,36830,51054,53676,39154
Emigrants,Austria,Europe,Western Europe,Developed regions,37,31,28,32,20,28,31,29,31,45,43,74,47,49,32,46,51,30,34,37,56,48,39,55,73,72,76,91,67,72,98,97,98,104
Emigrants,Azerbaijan,Asia,Western Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,3,6,0,3,2,0,6,0,2,1,0,3,0,2,2
Emigrants,Bahamas,Latin America and the Caribbean,Caribbean,Developing regions,6,2,3,7,1,4,9,1,7,15,1,1,3,3,12,11,5,9,2,2,3,4,6,0,7,3,2,7,1,7,0,1,7,1
Emigrants,Bahrain,Asia,Western Asia,Developing regions,17,17,47,74,36,11,22,18,21,24,26,62,66,37,40,25,14,11,27,17,17,18,8,12,37,22,29,59,78,66,39,22,15,23
Emigrants,Bangladesh,Asia,Southern Asia,Developing regions,10,14,5,8,6,29,26,11,5,29,23,13,10,19,21,36,25,26,23,16,28,29,25,33,38,36,24,26,25,18,24,38,31,14
Emigrants,Barbados,Latin America and the Caribbean,Caribbean,Developing regions,7,16,13,22,6,2,0,0,2,2,2,5,1,11,5,4,3,7,9,3,4,2,2,1,0,1,5,3,5,2,2,3,1,1
Emigrants,Belarus,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,3,3,5,0,1,3,0,0,2,0,1
Emigrants,Belgium,Europe,Western Europe,Developed regions,29,35,13,16,27,13,22,17,44,11,60,31,48,35,40,38,52,63,76,56,76,52,61,49,55,54,70,58,76,91,91,82,79,78
Emigrants,Belize,Latin America and the Caribbean,Central America,Developing regions,3,2,5,5,0,0,0,0,2,4,0,1,6,1,1,3,2,0,4,6,6,0,0,2,1,1,2,2,4,6,4,0,2,1
Emigrants,Benin,Africa,Western Africa,Developing regions,0,0,3,4,0,0,0,0,0,0,5,0,1,0,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
Emigrants,Bermuda,Northern America,Northern America,Developed regions,13,15,3,2,12,10,2,9,2,10,4,11,9,12,11,16,7,12,7,18,12,13,9,13,18,8,17,17,7,5,11,11,0,3
Emigrants,Bhutan,Asia,Southern Asia,Developing regions,1,6,1,0,1,3,4,6,13,5,15,8,5,0,9,4,5,1,1,5,4,1,4,5,8,12,10,11,4,2,0,0,1,3
Emigrants,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,Developing regions,2,13,3,1,10,5,0,10,2,0,3,11,4,9,17,8,15,18,11,15,33,12,5,7,8,12,7,5,9,11,18,8,11,29
Emigrants,Bosnia and Herzegovina,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,6,6,10,7,6,8,7,2,5,5,6,3,5,4,0,0,0,4
Emigrants,Botswana,Africa,Southern Africa,Developing regions,10,2,4,6,0,0,4,9,3,7,13,6,8,3,6,7,5,7,6,14,9,12,4,14,11,8,8,5,10,2,9,3,7,8
Emigrants,Brazil,Latin America and the Caribbean,South America,Developing regions,30,26,20,15,11,14,27,48,37,39,43,64,58,58,75,51,84,67,97,79,62,96,88,131,156,213,261,257,413,453,488,340,306,245
Emigrants,British Virgin Islands,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,2,0,6,0,0,0,5,1,1,2,2,0,5,7,4,2,5,2,2,4,3,1,3,1,1,3
Emigrants,Brunei Darussalam,Asia,South-Eastern Asia,Developing regions,35,27,42,18,25,25,26,57,41,52,24,35,54,107,191,62,200,123,52,55,34,37,51,30,45,37,45,56,16,68,81,62,57,79
Emigrants,Bulgaria,Europe,Eastern Europe,Developed regions,3,1,0,3,0,0,0,0,0,0,0,3,4,5,3,0,3,1,2,8,3,11,4,5,12,8,6,13,15,17,11,8,9,6
Emigrants,Burkina Faso,Africa,Western Africa,Developing regions,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,6,0,1,4,6,0,0,0,1,0,2,1,0,0,0,0,0
Emigrants,Burundi,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,1,0,0,2,0,0,0,0,0,1,1,5,3,7,2,8,2,0,0
Emigrants,Cabo Verde,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Emigrants,Cambodia,Asia,South-Eastern Asia,Developing regions,0,1,0,0,0,0,0,0,0,0,2,3,34,24,25,8,16,32,25,47,27,24,42,36,60,50,35,66,56,61,73,96,69,91
Emigrants,Cameroon,Africa,Middle Africa,Developing regions,0,2,4,0,0,3,1,0,3,0,0,0,0,0,0,4,0,0,1,0,0,6,4,1,0,2,0,1,1,2,2,4,2,4
Emigrants,Canada,Northern America,Northern America,Developed regions,1340,1161,734,566,570,697,747,840,1105,1002,973,971,856,760,673,803,761,880,1020,1006,1077,1194,1113,1222,1247,1485,1440,1542,1742,1660,1546,1521,1580,1691
