Year,Type,OdName,AreaName,RegName,DevName,Count
1980,Emigrants,Afghanistan,Asia,Southern Asia,Developing regions,1
1980,Emigrants,Albania,Europe,Southern Europe,Developed regions,0
1980,Emigrants,Algeria,Africa,Northern Africa,Developing regions,5
1980,Emigrants,American Samoa,Oceania,Polynesia,Developing regions,64
1980,Emigrants,Andorra,Europe,Southern Europe,Developed regions,0
1980,Emigrants,Angola,Africa,Middle Africa,Developing regions,0
1980,Emigrants,Anguilla,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Argentina,Latin America and the Caribbean,South America,Developing regions,13
1980,Emigrants,Armenia,Asia,Western Asia,Developing regions,0
1980,Emigrants,Aruba,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Australia,Oceania,Australia and New Zealand,Developed regions,40250
1980,Emigrants,Austria,Europe,Western Europe,Developed regions,37
1980,Emigrants,Azerbaijan,Asia,Western Asia,Developing regions,0
1980,Emigrants,Bahamas,Latin America and the Caribbean,Caribbean,Developing regions,6
1980,Emigrants,Bahrain,Asia,Western Asia,Developing regions,17
1980,Emigrants,Bangladesh,Asia,Southern Asia,Developing regions,10
1980,Emigrants,Barbados,Latin America and the Caribbean,Caribbean,Developing regions,7
1980,Emigrants,Belarus,Europe,Eastern Europe,Developed regions,0
1980,Emigrants,Belgium,Europe,Western Europe,Developed regions,29
1980,Emigrants,Belize,Latin America and the Caribbean,Central America,Developing regions,3
1980,Emigrants,Benin,Africa,Western Africa,Developing regions,0
1980,Emigrants,Bermuda,Northern America,Northern America,Developed regions,13
1980,Emigrants,Bhutan,Asia,Southern Asia,Developing regions,1
1980,Emigrants,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,Developing regions,2
1980,Emigrants,Bosnia and Herzegovina,Europe,Southern Europe,Developed regions,0
1980,Emigrants,Botswana,Africa,Southern Africa,Developing regions,10
1980,Emigrants,Brazil,Latin America and the Caribbean,South America,Developing regions,30
1980,Emigrants,British Virgin Islands,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Brunei Darussalam,Asia,South-Eastern Asia,Developing regions,35
1980,Emigrants,Bulgaria,Europe,Eastern Europe,Developed regions,3
1980,Emigrants,Burkina Faso,Africa,Western Africa,Developing regions,0
1980,Emigrants,Burundi,Africa,Eastern Africa,Developing regions,0
1980,Emigrants,Cabo Verde,Africa,Western Africa,Developing regions,0
1980,Emigrants,Cambodia,Asia,South-Eastern Asia,Developing regions,0
1980,Emigrants,Cameroon,Africa,Middle Africa,Developing regions,0
1980,Emigrants,Canada,Northern America,Northern America,Developed regions,1340
1980,Emigrants,Cayman Islands,Latin America and the Caribbean,Caribbean,Developing regions,3
1980,Emigrants,Central African Republic,Africa,Middle Africa,Developing regions,0
1980,Emigrants,Chad,Africa,Middle Africa,Developing regions,0
1980,Emigrants,Chile,Latin America and the Caribbean,South America,Developing regions,15
1980,Emigrants,China,Asia,Eastern Asia,Developing regions,40
1980,Emigrants,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Developing regions,283
1980,Emigrants,"China, Macao Special Administrative Region",Asia,Eastern Asia,Developing regions,22
1980,Emigrants,Colombia,Latin America and the Caribbean,South America,Developing regions,4
1980,Emigrants,Comoros,Africa,Eastern Africa,Developing regions,0
1980,Emigrants,Congo,Africa,Middle Africa,Developing regions,0
1980,Emigrants,Cook Islands,Oceania,Polynesia,Developing regions,634
1980,Emigrants,Costa Rica,Latin America and the Caribbean,Central America,Developing regions,7
1980,Emigrants,Côte d'Ivoire,Africa,Western Africa,Developing regions,0
1980,Emigrants,Croatia,Europe,Southern Europe,Developed regions,0
1980,Emigrants,Cuba,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Cyprus,Asia,Western Asia,Developing regions,16
1980,Emigrants,Czech Republic,Europe,Eastern Europe,Developed regions,0
1980,Emigrants,Democratic People's Republic of Korea,Asia,Eastern Asia,Developing regions,4
1980,Emigrants,Democratic Republic of the Congo,Africa,Middle Africa,Developing regions,8
1980,Emigrants,Denmark,Europe,Northern Europe,Developed regions,59
1980,Emigrants,Djibouti,Africa,Eastern Africa,Developing regions,0
1980,Emigrants,Dominica,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Dominican Republic,Latin America and the Caribbean,Caribbean,Developing regions,3
1980,Emigrants,Ecuador,Latin America and the Caribbean,South America,Developing regions,5
1980,Emigrants,Egypt,Africa,Northern Africa,Developing regions,15
1980,Emigrants,El Salvador,Latin America and the Caribbean,Central America,Developing regions,2
1980,Emigrants,Equatorial Guinea,Africa,Middle Africa,Developing regions,0
1980,Emigrants,Eritrea,Africa,Eastern Africa,Developing regions,0
1980,Emigrants,Estonia,Europe,Northern Europe,Developed regions,0
1980,Emigrants,Ethiopia,Africa,Eastern Africa,Developing regions,0
1980,Emigrants,Faeroe Islands,Europe,Northern Europe,Developed regions,0
1980,Emigrants,Falkland Islands (Malvinas),Latin America and the Caribbean,South America,Developing regions,0
1980,Emigrants,Fiji,Oceania,Melanesia,Developing regions,698
1980,Emigrants,Finland,Europe,Northern Europe,Developed regions,4
1980,Emigrants,France,Europe,Western Europe,Developed regions,112
1980,Emigrants,French Guiana,Latin America and the Caribbean,South America,Developing regions,0
1980,Emigrants,French Polynesia,Oceania,Polynesia,Developing regions,14
1980,Emigrants,Gabon,Africa,Middle Africa,Developing regions,0
1980,Emigrants,Gambia,Africa,Western Africa,Developing regions,0
1980,Emigrants,Georgia,Asia,Western Asia,Developing regions,0
1980,Emigrants,Germany,Europe,Western Europe,Developed regions,191
1980,Emigrants,Ghana,Africa,Western Africa,Developing regions,10
1980,Emigrants,Gibraltar,Europe,Southern Europe,Developed regions,0
1980,Emigrants,Greece,Europe,Southern Europe,Developed regions,97
1980,Emigrants,Greenland,Northern America,Northern America,Developed regions,2
1980,Emigrants,Grenada,Latin America and the Caribbean,Caribbean,Developing regions,1
1980,Emigrants,Guadeloupe,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Guam,Oceania,Micronesia,Developing regions,6
1980,Emigrants,Guatemala,Latin America and the Caribbean,Central America,Developing regions,15
1980,Emigrants,Guinea,Africa,Western Africa,Developing regions,0
1980,Emigrants,Guinea-Bissau,Africa,Western Africa,Developing regions,0
1980,Emigrants,Guyana,Latin America and the Caribbean,South America,Developing regions,1
1980,Emigrants,Haiti,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Holy See,Europe,Southern Europe,Developed regions,0
1980,Emigrants,Honduras,Latin America and the Caribbean,Central America,Developing regions,0
1980,Emigrants,Hungary,Europe,Eastern Europe,Developed regions,3
1980,Emigrants,Iceland,Europe,Northern Europe,Developed regions,2
1980,Emigrants,India,Asia,Southern Asia,Developing regions,146
1980,Emigrants,Indonesia,Asia,South-Eastern Asia,Developing regions,112
1980,Emigrants,Iran (Islamic Republic of),Asia,Southern Asia,Developing regions,11
1980,Emigrants,Iraq,Asia,Western Asia,Developing regions,16
1980,Emigrants,Ireland,Europe,Northern Europe,Developed regions,119
1980,Emigrants,Israel,Asia,Western Asia,Developing regions,81
1980,Emigrants,Italy,Europe,Southern Europe,Developed regions,82
1980,Emigrants,Jamaica,Latin America and the Caribbean,Caribbean,Developing regions,3
1980,Emigrants,Japan,Asia,Eastern Asia,Developed regions,246
1980,Emigrants,Jordan,Asia,Western Asia,Developing regions,3
1980,Emigrants,Kazakhstan,Asia,Central Asia,Developing regions,0
1980,Emigrants,Kenya,Africa,Eastern Africa,Developing regions,25
1980,Emigrants,Kiribati,Oceania,Micronesia,Developing regions,19
1980,Emigrants,Kuwait,Asia,Western Asia,Developing regions,10
1980,Emigrants,Kyrgyzstan,Asia,Central Asia,Developing regions,0
1980,Emigrants,Lao People's Democratic Republic,Asia,South-Eastern Asia,Developing regions,2
1980,Emigrants,Latvia,Europe,Northern Europe,Developed regions,0
1980,Emigrants,Lebanon,Asia,Western Asia,Developing regions,1
1980,Emigrants,Lesotho,Africa,Southern Africa,Developing regions,0
1980,Emigrants,Liberia,Africa,Western Africa,Developing regions,0
1980,Emigrants,Libya,Africa,Northern Africa,Developing regions,2
1980,Emigrants,Liechtenstein,Europe,Western Europe,Developed regions,0
1980,Emigrants,Lithuania,Europe,Northern Europe,Developed regions,0
1980,Emigrants,Luxembourg,Europe,Western Europe,Developed regions,2
1980,Emigrants,Madagascar,Africa,Eastern Africa,Developing regions,0
1980,Emigrants,Malawi,Africa,Eastern Africa,Developing regions,5
1980,Emigrants,Malaysia,Asia,South-Eastern Asia,Developing regions,531
1980,Emigrants,Maldives,Asia,Southern Asia,Developing regions,1
1980,Emigrants,Mali,Africa,Western Africa,Developing regions,0
