Year,Immigrants,Emigrants
1980,45256,70829
1981,45036,63749
1982,45675,49199
1983,42156,35854
1984,37053,42178
1985,35395,56722
1986,41629,62367
1987,48373,61620
1988,46529,72713
1989,49260,63524
1990,56482,49504
1991,50578,46172
1992,48144,45496
1993,55081,43089
1994,64382,46519
1995,77563,51072
1996,79005,56208
1997,67636,62009
1998,58220,66483
1999,59743,70771
2000,62994,76306
2001,81094,73369
2002,95951,59755
2003,92660,59757
2004,80479,67375
2005,78963,73997
2006,82732,70129
2007,82572,79088
2008,87463,85657
2009,86410,67166
2010,82469,74028
2011,84187,88053
2012,85255,88432
2013,93965,73510
